"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Eigenvalue",2.08391654652447,0.33073297743832,0.277855379479576,0.134349844803815,0.0730639644838426,0.0170168609272189,0.00181278463073521,0.000276103573735488,5.83456592838588e-05,2.5212619069785,1.37979099488251,1.00288905490607,0.522434432444541,0.33872999512927,0.304691847856689,0.00607748986774752,0.00362863773563739,0.00141283267802664
"Proportion Explained",0.231546282947164,0.0367481086042577,0.0308728199421751,0.0149277605337572,0.00811821827598252,0.00189076232524655,0.000201420514526134,3.06781748594987e-05,6.48285103153987e-06,0.2801402118865,0.153310110542502,0.111432117211785,0.0580482702716157,0.0376366661254745,0.0338546497618544,0.000675276651971947,0.000403181970626377,0.000156981408669627
"Cumulative Proportion",0.231546282947164,0.268294391551422,0.299167211493597,0.314094972027354,0.322213190303336,0.324103952628583,0.324305373143109,0.324336051317969,0.324342534169,0.6044827460555,0.757792856598002,0.869224973809787,0.927273244081403,0.964909910206878,0.998764559968732,0.999439836620704,0.99984301859133,1
