"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Eigenvalue",1.86651484604723,0.721198853505723,0.470913133549361,0.231849413721496,0.105306225547909,0.0968161595923282,0.00256759396997887,0.000754883515396815,0.000205748167985408,1.75566669850383,1.09183924641756,0.903226893797232,0.753219450989717,0.508032196917118,0.394147685752749,0.05374668038843,0.0376776254797208,0.00631666413624239
"Proportion Explained",0.207390538449692,0.0801332059450802,0.0523236815054845,0.0257610459690551,0.0117006917275454,0.0107573510658142,0.000285288218886541,8.38759461552016e-05,2.28609075539342e-05,0.195074077611537,0.121315471824173,0.100358543755248,0.0836910501099685,0.0564480218796798,0.0437941873058609,0.00597185337649221,0.00418640283108009,0.000701851570693599
"Cumulative Proportion",0.207390538449692,0.287523744394772,0.339847425900257,0.365608471869312,0.377309163596857,0.388066514662671,0.388351802881558,0.388435678827713,0.388458539735267,0.583532617346803,0.704848089170977,0.805206632926225,0.888897683036193,0.945345704915873,0.989139892221734,0.995111745598226,0.999298148429306,1
