"x"
"Hybopsis amblops"
"Campostoma spadiceum"
"Fundulus catenatus"
"Cyprinella analostana"
"Exoglossum maxillingua"
"Noturus insignis"
"Perca flavescens"
"Petromyzon marinus"
"Semotilus corporalis"
"Cottus sp. Rocky Mountain Sculpin"
"Thymallus arcticus"
"Fundulus diaphanus"
"Notropis volucellus"
"Percina peltata"
"Pararhinichthys bowersi"
"Catostomus rimiculus"
"Cottus aleuticus"
"Cottus asper"
"Carassius auratus"
"Clinostomus funduloides"
"Cottus girardi"
"Menidia beryllina"
"Morone americana"
"Morone saxatilis"
"Fundulus majalis"
"Salmo salar"
"Margariscus margarita"
"Notropis heterolepis"
"Sander vitreus"
"Carpiodes cyprinus"
"Macrhybopsis storeriana"
"Apeltes quadracus"
"Carpiodes velifer"
"Percopsis omiscomaycus"
"Elassoma zonatum"
"Fundulus zebrinus"
"Platygobio gracilis"
"Moxostoma congestum"
"Hybognathus nuchalis"
"Etheostoma lepidum"
"Notropis amabilis"
"Percina carbonaria"
"Etheostoma fusiforme"
"Cottus caeruleomentum"
"Notropis amoenus"
"Moxostoma carinatum"
"Couesius plumbeus"
"Hybopsis rubrifrons"
"Cyprinella nivea"
"Etheostoma inscriptum"
"Micropterus sp. Bartram's Bass"
"Hybognathus regius"
"Cyprinella callisema"
"Cyprinella xaenura"
"Moxostoma collapsum"
"Etheostoma coosae"
"Notropis chrosomus"
"Percina palmaris"
"Etheostoma trisella"
"Lythrurus lirus"
"Cyprinella callistia"
"Cyprinella trichroistia"
"Etheostoma jordani"
"Micropterus henshalli"
"Notropis stilbius"
"Percina kathae"
"Ichthyomyzon castaneus"
"Notropis xaenocephalus"
"Etheostoma scotti"
"Etheostoma etowahae"
"Phenacobius catostomus"
"Notropis heterodon"
"Enneacanthus obesus"
"Margariscus nachtriebi"
"Cottus kanawhae"
"Cyprinella galactura"
"Luxilus albeolus"
"Notropis telescopus"
"Notropis rubricroceus"
"Etheostoma kanawhae"
"Notropis topeka"
"Fundulus sciadicus"
"Cyprinella camura"
"Etheostoma lynceum"
"Etheostoma pyrrhogaster"
"Noturus hildebrandi"
"Noturus phaeus"
"Erimystax x-punctatus"
"Etheostoma euzonum"
"Etheostoma histrio"
"Luxilus zonatus"
"Noturus maydeni"
"Etheostoma autumnale"
"Luxilus pilsbryi"
"Notropis greenei"
"Percina nasuta"
"Dionda episcopa"
"Cyprinella lepida"
"Cottus pitensis"
"Cottus gulosus"
"Ptychocheilus grandis"
"Cottus sp. Checkered Sculpin"
"Etheostoma vitreum"
"Moxostoma cervinum"
"Percina roanoka"
"Thoburnia rhothoeca"
"Nocomis raneyi"
"Percina notogramma"
"Etheostoma podostemone"
"Hypentelium roanokense"
"Luxilus cerasinus"
"Notropis chiliticus"
"Fundulus rathbuni"
"Moxostoma pappillosum"
"Ambloplites cavifrons"
"Lythrurus matutinus"
"Percina nevisense"
"Enneacanthus chaetodon"
"Etheostoma serrifer"
"Fundulus lineolatus"
"Notropis alborus"
"Notropis altipinnis"
"Notropis scepticus"
"Percina crassa"
"Ichthyomyzon bdellium"
"Percina copelandi"
"Etheostoma mariae"
"Cyprinella chloristia"
"Pteronotropis stonei"
"Hybopsis hypsinotus"
